"MouseID","Area","Perim.","Mean","StdDev","Mode","Min","Max","Median","Skew","Kurt","Major","Minor","Angle","Circ.","AR","Round","Solidity","Feret","FeretAngle","MinFeret","IntDen","RawIntDen","TumourCalling"
"81355-1",0.705,3.67,82.964,16.671,86,0,130,85,-0.187,0.68,1.076,0.834,13.557,0.658,1.29,0.775,0.943,1.105,29.932,0.868,58.468,69441,"nAd"
"81355-1",0.485,4.001,89.241,22.45,80,35,135,89,0.056,-0.847,1.01,0.611,4.125,0.381,1.652,0.605,0.811,1.175,20.225,0.638,43.28,51403,"nAd"
"81355-1",0.654,4.207,94.185,18.629,101,28,132,98,-0.648,0.065,1.568,0.531,26.644,0.464,2.952,0.339,0.832,1.698,19.983,0.642,61.618,73182,"nAd"
"81355-1",1.258,7.802,73.769,22.705,66,0,132,74,-0.244,0.02,1.557,1.029,159.729,0.26,1.513,0.661,0.802,1.696,167.152,1.12,92.795,110211,"nAd"
"81355-1",0.882,4.795,70.678,23.294,85,0,117,73,-0.804,0.783,1.114,1.008,165.204,0.482,1.105,0.905,0.827,1.329,36.119,1.074,62.307,74000,"nAd"
"81355-1",4.197,10.838,74.279,28.697,70,0,144,77,-0.495,-0.028,3.54,1.51,174.095,0.449,2.345,0.426,0.831,3.629,1.833,1.652,311.771,370283,"nAd"
"81355-1",9.483,17.762,76.95,31.205,64,0,156,78,-0.122,-0.453,4.672,2.584,170.525,0.378,1.808,0.553,0.827,5.097,175.101,3.014,729.73,866683,"nAd"
"81355-1",0.733,4.604,68.257,35.764,0,0,144,69,-0.03,-0.833,1.116,0.836,120.029,0.434,1.335,0.749,0.802,1.294,132.274,0.956,50,59384,"nAd"
"81355-1",0.518,4.07,74.317,36.577,0,0,142,74,-0.136,-0.898,0.986,0.669,28.521,0.393,1.475,0.678,0.752,1.156,51.116,0.817,38.483,45705,"nAd"
"81355-1",0.398,4.08,72.11,18.873,66,0,119,72,-0.535,1.469,0.866,0.585,91.92,0.301,1.48,0.676,0.686,1.117,114.567,0.663,28.718,34108,"nAd"
"81355-1",4.24,12.223,78.666,26.649,79,0,141,81,-0.518,0.188,3.3,1.636,175.909,0.357,2.017,0.496,0.85,3.506,167.574,1.985,333.559,396160,"nAd"
"81355-1",4.438,11.912,79.331,26.18,85,0,145,83,-0.625,0.403,3.445,1.64,173.852,0.393,2.101,0.476,0.897,3.497,162.618,1.857,352.079,418156,"nAd"
"81355-1",2.965,7.651,76.213,25.528,86,0,135,79,-0.38,-0.138,2.221,1.7,154.889,0.637,1.306,0.766,0.9,2.37,140.464,1.904,226.006,268422,"nAd"
"81355-1",6.543,15.119,71.595,29.038,70,0,150,74,-0.293,-0.351,3.543,2.351,177.026,0.36,1.507,0.663,0.856,3.793,13.717,2.442,468.45,556367,"nAd"
"81355-1",0.357,3.007,78.71,14.448,72,6,111,81,-0.614,0.665,0.787,0.578,47.97,0.496,1.362,0.734,0.724,0.986,42.614,0.714,28.099,33373,"nAd"
"81355-1",0.298,2.755,81.008,20.041,98,25,137,81,0.218,-0.064,0.851,0.446,137.003,0.493,1.908,0.524,0.805,0.975,120.379,0.536,24.145,28677,"nAd"
"81355-1",0.203,2.584,76.145,19.368,63,20,117,76,-0.055,-0.795,0.531,0.486,75.729,0.382,1.093,0.915,0.765,0.702,141.71,0.556,15.451,18351,"nAd"
"81355-1",0.24,2.143,86.695,18.795,89,18,129,89,-0.628,-0.028,0.736,0.415,122.171,0.657,1.771,0.564,0.838,0.822,132.138,0.499,20.804,24708,"nAd"
"81355-1",1.533,6.895,78.36,23.871,85,0,130,83,-0.984,1.093,1.805,1.081,40.85,0.405,1.669,0.599,0.859,1.867,57.051,1.182,120.145,142693,"nAd"
"81355-1",3.179,9.734,67.745,25.08,66,0,126,69,-0.265,-0.229,2.301,1.759,163.209,0.422,1.308,0.764,0.853,2.544,145.222,2.102,215.382,255804,"nAd"
"81355-1",0.301,2.177,67.087,41.745,0,0,135,76,-0.32,-1.219,0.662,0.579,1.259,0.8,1.143,0.875,0.894,0.74,25.56,0.649,20.222,24017,"nAd"
"81355-1",1.301,5.227,88.414,29.358,111,0,145,94,-0.728,0.151,1.717,0.964,4.448,0.598,1.781,0.562,0.915,1.784,21.975,0.987,115.014,136600,"nAd"
"81355-1",2.273,9.165,76.683,23.465,78,0,132,80,-0.818,1.028,2.051,1.411,178.975,0.34,1.453,0.688,0.827,2.323,170.655,1.566,174.326,207043,"nAd"
"81355-1",0.288,2.833,71.184,17.458,80,0,110,74,-1.445,3.358,0.737,0.498,123.006,0.451,1.48,0.676,0.794,0.813,124.824,0.615,20.498,24345,"nAd"
"81355-1",1.915,9.145,67.899,23.456,70,0,126,72,-0.811,0.289,1.962,1.243,7.466,0.288,1.579,0.633,0.799,2.11,18.435,1.435,130.003,154402,"nAd"
"81355-1",0.79,4.195,73.448,25.843,101,0,127,76,-0.496,-0.16,1.43,0.703,92.89,0.564,2.035,0.492,0.877,1.514,102.171,0.725,58.007,68894,"nAd"
"81355-1",1.034,4.652,82.759,27.123,100,0,132,88,-0.866,0.354,1.336,0.986,30.513,0.6,1.355,0.738,0.878,1.458,174.289,0.986,85.569,101628,"nAd"
"81355-1",3.855,10.999,70.005,29.319,0,0,132,76,-0.691,-0.131,2.37,2.071,164.764,0.4,1.145,0.874,0.864,2.792,133.315,2.259,269.839,320482,"nAd"
